;review;rating;step1;review_perbaikan;review_processing
0;Paketnya sudah di terima dalam kondisi baik, kemasannya rapi dan pengiriman juga cepat. Baju kaosnya bagus bahan lembut, sesuai deskripsi. Terima kasih lazada, seller dan pak kurir...;5.0;['Paketnya', 'sudah', 'di', 'terima', 'dalam', 'kondisi', 'baik', ',', 'kemasannya', 'rapi', 'dan', 'pengiriman', 'juga', 'cepat', '.', 'Baju', 'kaosnya', 'bagus', 'bahan', 'lembut', ',', 'sesuai', 'deskripsi', '.', 'Terima', 'kasih', 'lazada', ',', 'seller', 'dan', 'pak', 'kurir', '...'];Paketnya sudah di terima dalam kondisi baik , kemasannya rapi dan pengiriman juga cepat . Baju kaosnya bagus bahan lembut , sesuai deskripsi . Terima kasih lazada , seller dan pak kurir ...;['paket', 'terima', 'kondisi', 'kemas', 'rapi', 'kirim', 'cepat', 'baju', 'kaos', 'bagus', 'bahan', 'lembut', 'sesuai', 'deskripsi', 'kasih', 'lazada', 'seller', 'kurir']
1;Alhamdulillah makasih bos q udh yg k 2 barang nya ak terima g pernah kecewa ,,,lanjutkan amanah baik mu.nex ak bakal langganan d toko mu..kurir yg baik hati thanks ;5.0;['Alhamdulillah', 'makasih', 'bos', 'q', 'udh', 'yg', 'k', '2', 'barang', 'nya', 'ak', 'terima', 'g', 'pernah', 'kecewa', ',', ',', ',', 'lanjutkan', 'amanah', 'baik', 'mu.nex', 'ak', 'bakal', 'langganan', 'd', 'toko', 'mu', '..', 'kurir', 'yg', 'baik', 'hati', 'thanks'];Alhamdulillah makasih bos q sudah yang k 2 barang nya aku terima g pernah kecewa , , , lanjutkan amanah baik mu.nex aku bakal langganan d toko mu .. kurir yang baik hati thanks;['alhamdulillah', 'makasih', 'bos', 'q', 'k', 'barang', 'nya', 'terima', 'g', 'kecewa', 'lanjut', 'amanah', 'munex', 'langgan', 'd', 'toko', 'mu', 'kurir', 'hati', 'thanks']
2;alhamdulillah realpict terus sih kalau disini costumer aku pun sukaðð¤ð¤;5.0;['alhamdulillah', 'realpict', 'terus', 'sih', 'kalau', 'disini', 'costumer', 'aku', 'pun', 'sukað\x9f\x98\x8dð\x9f¤\x97ð\x9f¤\x97'];syukur realpict terus sih kalau disini costumer aku pun sukaðð¤ð¤;['syukur', 'realpict', 'sih', 'costumer', 'suka']
3;real bgt ga prnh kecewa bli di toko nie;5.0;['real', 'bgt', 'ga', 'prnh', 'kecewa', 'bli', 'di', 'toko', 'nie'];real banget tidak prnh kecewa bli di toko nie;['real', 'banget', 'prnh', 'kecewa', 'bli', 'toko', 'nie']
4;"BAHANYAAA BAGUSSS BANGETTTTTTT,
PAKETNYA DATENG LANGSUNG AKU BUAT TIEDYE WKWK";4.877300613496932;['BAHANYAAA', 'BAGUSSS', 'BANGETTTTTTT', ',', 'PAKETNYA', 'DATENG', 'LANGSUNG', 'AKU', 'BUAT', 'TIEDYE', 'WKWK'];BAHANYAAA BAGUSSS BANGETTTTTTT , PAKETNYA DATENG LANGSUNG AKU BUAT TIEDYE WKWK;['bahanyaaa', 'bagusss', 'bangettttttt', 'paket', 'dateng', 'langsung', 'tiedye', 'wkwk']
5;selalu puas beli baju disini, bahan bagus dan semua sesuai pesanan, terimakasih lazada dan seller;5.0;['selalu', 'puas', 'beli', 'baju', 'disini', ',', 'bahan', 'bagus', 'dan', 'semua', 'sesuai', 'pesanan', ',', 'terimakasih', 'lazada', 'dan', 'seller'];selalu puas beli baju disini , bahan bagus dan semua sesuai pesanan , terimakasih lazada dan seller;['puas', 'beli', 'baju', 'bahan', 'bagus', 'sesuai', 'pesan', 'terimakasih', 'lazada', 'seller']
6;real pict, bahannya bagus banget. kurirnya juga ramah, cepet pengirimannya. amanah banget toko iniâ¤;5.0;['real', 'pict', ',', 'bahannya', 'bagus', 'banget', '.', 'kurirnya', 'juga', 'ramah', ',', 'cepet', 'pengirimannya', '.', 'amanah', 'banget', 'toko', 'iniâ\x9d¤'];real pict , bahannya bagus banget . kurirnya juga ramah , cepat pengirimannya . amanah banget toko iniâ¤;['real', 'pict', 'bahan', 'bagus', 'banget', 'kurir', 'ramah', 'cepat', 'kirim', 'amanah', 'toko']
7;lumayan bagus..halus kainnya. mksh lazada. mksh kurir...;5.0;['lumayan', 'bagus', '..', 'halus', 'kainnya', '.', 'mksh', 'lazada', '.', 'mksh', 'kurir', '...'];lumayan bagus .. halus kainnya . mksh lazada . mksh kurir ...;['lumayan', 'bagus', 'halus', 'kain', 'mksh', 'lazada', 'kurir']
8;mantap deh ;5.0;['mantap', 'deh'];mantap deh;['mantap', 'deh']
9;tolong kalau jualan itu yg jujur, ini bukan bahan cotton combed 30s;1.0;['tolong', 'kalau', 'jualan', 'itu', 'yg', 'jujur', ',', 'ini', 'bukan', 'bahan', 'cotton', 'combed', '30s'];tolong kalau jualan itu yang jujur , ini bukan bahan cotton combed 30s;['tolong', 'jual', 'jujur', 'bahan', 'cotton', 'combed', 's']
